lai28.doutu,斗图助手
lai28.wechatuiswitchloader,微信开关UI
com.ketty.meowtimemachine,插件备份
com.tencent.xin,无限匿名艾特
lai28.dyyy,DYYY
netskao.wcpureextension,微信净化
lai28.wcenableshowcontactaddcreatetime,强开微信好友添加时间
lai28.wcisoverseauser,强开微信通讯密钥
lai28.wcnewminiappfloatingwindow,强开微信小程序浮窗
lai28.awemealwaysshowtime,抖音上传时间
lai28.wcplugins,微信插件管理
JianL.wechat.xuanzhuan,微信头像旋转
lai28.wechatnotiavatar,显示微信头像
lai28.pingfan.wechat,虚拟视频
lai28.msgfilt,微信信息屏蔽助手
netskao.wechatpurification,微信净化END
js,系统文件
lai28.dumpdecrypter,APP砸壳
com.dvntm.ratebegone,禁止弹窗
com. HBWechatHelper.ailun,黄白助手
com.jianlai82,真后台
com.tencent.voices.rootless,老猫语音包
com.xx.dyhook,抖音图层
lai28.releasefugu15,酸果主题
lai28.app.wechat,爱锋助手
lai28.betteruiswitch,全局淫荡开关
com.lecard.wuyu,新分屏
com.netskao.awemedisablebar,抖音禁言标签按钮
lai28.wbnoads,微博去广告
com.netskao.awemefullscreen,抖音全屏
MisakaHelper,板御助手
lai28.wcenablecleanorigmsg,强开微信清理
com.huami.bilinoad,哔哩哔哩净化
com.25mao.leftpan,左滑返回
com.liuf.jpyj,系统键盘圆角
com.lai.kayoko,剪切板
lai28.themebox,微信主题盒子
dumpapp,锤子助手
lai28.wcenablemomentslivephoto,强开微信实况
lai28.nsg,通知计数
lai28.split-view-pro,svi分屏
lai28.themepro,菠萝主题
lai.safarix,Safari游览器增强
lai28.safarixhook,修复safarix闪退
com.teslaman3092.popoutbuttons,按钮美化
jian.lai.jade,控制中心美化
com.25mao.miyou.rootless,微信助手
com.curtin.pkc.rootless,PKC助手
net.griddy,桌面图标任意摆放
lai28.WCAtpure,显示匿名艾特
com.xx.xhshook,小红书图层
